commit,kidcount,distance
bab8f0aa,2,4
bb3f5c0e,2,4
bce9d5c9,2,1
be4d7212,2,3
c077c19b,2,1
c58164f7,4,1
c62594e2,2,1
c8d8226d,2,19
ca5b9857,2,1
cd5683aa,2,1
cd7ac37b,2,1
d178a8b9,3,1
d90f2db0,3,1
da888908,3,7
dc5bd226,2,1
dc9c8e65,2,1
e062ebd1,2,1
e507516d,3,1
e6150c68,2,1
e7cf9514,2,1
e8dce761,2,3
ed0a495c,2,1
ee7fa54d,2,8
f05254f6,2,1
f192d539,2,1
f1c4a682,2,12
f593fc23,3,2
f7c084a5,2,3
f8320285,2,1
fb9199f5,2,1
fd87e04d,2,2
fe786618,2,1
ff0d7359,2,5
8f533f8d,2,1
a5f26cd7,2,2
4dc26c0d,2,1
5a345122,2,1
66980a65,2,3
1ac2923d,2,1
207a5010,2,1
20bb7ac9,2,1
24234249,4,1
41e8ed7a,2,3
50191f51,2,1
8568542e,2,4
8e1fa115,2,1
a149ccf1,2,1
c15a9ca1,2,1
c8bb1a34,2,1
e25888ad,2,1
adf414d3,2,1
f28ef56a,2,1
44ba9e95,2,1
3dd61402,2,1
cb18c6af,2,3
e18ebab2,2,4
0bb1cc7e,3,1
557e5221,2,31
28bab527,2,1
b707d84c,2,1
c6f8d5c6,5,1
d09cd5a1,2,1
15da60aa,2,1
357646fa,3,4
43d00933,3,1
c813c2a8,2,1
cf861e36,2,1
e35dfa42,2,11
edff32db,2,2
50fa7dac,2,1
60c72420,2,1
4be19c91,2,1
72a545c3,3,1
8ca86324,2,1
acf6ed34,2,1
2478ed39,2,1
3149127c,2,1
c0c03f08,2,1
ddfb319c,2,1
42f9e331,2,1
55f909d9,2,1
8996e65f,2,1
ae2b6b34,2,1
ceeb93d0,2,1
fd85ca90,4,3
51fd417d,2,3
16eaf2d8,2,1
9b87dee5,2,1
b80ad17f,2,1
fe6b8822,2,1
6844891d,2,1
9de45fd6,2,2
c2dea492,2,2
f4762966,2,1
c013be87,2,2
00490c60,2,1
60c7d422,2,3
c9f5430a,2,1
0737e398,2,1
1a3dd5d1,3,1
47aa5677,5,1
daec9df3,3,1
51c8a8ca,2,1
6128d135,2,1
d4dd941b,2,4
f8f73912,2,1
97356e8e,2,4
4fc29617,3,1
36dc5c4a,3,1
39070cfd,2,1
ef127561,2,2
09a05e9f,2,1
1963c62e,3,1
1b92cc64,3,1
204d1b9c,3,10
394d16fc,2,1
5c3b6f3b,2,1
78ae2fa6,4,1
945dd046,2,1
9862f03d,2,2
ca580f0d,3,1
cefe716e,2,1
d0860735,2,3
d9742718,2,1
dce957f1,2,1
dd20b7a1,2,1
e63df08a,2,1
e7e903b7,2,1
ede23272,2,1
f235c4a5,6,1
fae84e56,2,1
0cbae14c,2,2
d1aba72c,2,2
bbaf243f,2,1
05617bbe,2,2
51acf9b8,2,1
5c33091b,2,1
b681ce2e,2,4
dcd2c68d,2,1
102edc5f,2,1
136970aa,3,1
efea40dd,3,1
29d21a83,2,1
7358eaba,2,2
deaaf6a9,2,1
28de9267,2,1
2feab5b7,3,1
822b8f23,2,1
9904fc43,3,1
dc16ffc3,3,1
e4f3b049,2,1
0cfeeb55,9,1
1a1b7f42,6,1
295f455e,2,1
2a3bba8b,2,1
3c3e82dd,9,1
3c4a7c63,3,1
5cdb0e31,8,1
7b979b15,2,1
7b9e4f49,2,1
83542066,4,1
874e2d70,2,1
ad18bc59,2,1
aee273df,2,1
dccc48d4,2,2
dd2da3d3,4,1
e47ad11a,3,1
e6a463ff,3,1
fe4bffff,4,1
ff1ae718,2,1
bdab20dc,2,2
1755db1a,2,1
27b8c165,2,1
198cc799,2,1
20e68ed9,2,1
44f27a43,2,1
6a837a5b,2,1
9488bfcc,2,1
aae71d03,2,2
bf8da79c,2,1
222e7418,3,1
d7a3ae2f,3,1
fec55490,2,1
7a4d5538,2,1
028d8bdd,2,1
af24cd43,2,1
83bb02b1,2,1
e74ee67c,2,1
737e4d61,2,3
d28d0254,2,1
62f994b8,4,4
7f70a8ba,3,1
ec00d8e5,2,1
66e6ac85,2,1
2bc21ff2,3,1
99ecc2dd,3,3
a4459928,2,1
e1b88c0d,2,1
76bb603b,2,1
75b3d44a,2,2
75fb758b,3,1
468c078f,3,1
c8e2a12c,5,3
663a6a7f,2,1
1a94d55f,2,2
3e5d8c8e,2,1
4d4a33cc,2,1
7da6110d,2,3
96786bb5,5,1
a39ad0c1,2,1
a42d0bf4,4,1
adfabec8,4,1
b37c7ed1,2,2
eb8254eb,2,1
faa270cb,2,1
34dbc2da,2,3
1b26aa8c,2,3
483cdc1d,2,1
94a0add0,2,1
31c77bed,5,1
61a792ac,2,1
89dfac86,2,1
a4d05c80,2,1
ac95cb57,2,1
c38fadfd,2,1
ff987b19,3,1
09b9d91f,2,1
2c884fee,2,1
4bf6eb55,2,9
87f3b8af,2,6
06fbd3dc,2,1
1fc110ae,2,1
48f8dac4,2,1
5f47242b,2,3
9825dd5a,2,1
b5281444,2,1
d7ed0652,2,1
e5bbdfd0,2,1
f176c4b1,2,1
dc8d0ad4,4,1
bb14d04b,4,1
374cb62c,2,1
b24cb2f3,2,1
441fb27b,2,1
6bd236d6,3,1
7ba6511d,2,1
b856be0f,2,1
c9a4784a,2,1
62fecf94,2,1
f429432f,2,2
c78ec4fe,2,1
d91b174f,2,1
8dbbf60c,2,1
c9ac2667,4,1
853af848,3,1
aebc4ac4,2,1
039043da,2,1
091b8664,3,1
2556f67a,2,1
3353aea5,4,1
0a16401e,7,1
54b2ce09,2,1
8debac30,3,1
b6ec07f4,2,1
10b01a19,2,5
174fbe4c,2,1
1c5f986e,4,1
4a067601,2,1
c4011ae4,2,1
0dd67e0f,2,1
4af50b5d,3,1
53e2c5dd,3,1
67f03e39,2,1
7ad4fe4c,3,1
7cfa388c,2,1
9db37548,2,1
b80bd376,2,1
cc4b0480,2,1
df97bd11,2,1
f81f641a,3,1
7c84ec9c,2,1
a3274577,6,1
a44e6f0f,2,2
f48fa95e,3,1
1d2cc1fa,2,1
27cdd633,2,1
51600020,2,1
73606f74,2,2
78156859,2,1
b25c3391,2,1
b9cd7f51,2,1
cde17984,3,1
ae26df31,2,4
52aa71ec,2,1
6c24e7d2,3,1
af149bcb,2,1
d1f4e1e3,2,1
d276b46b,2,1
d4e328da,2,1
dc7dd2cb,2,1
f776e53f,2,41
5369505b,2,8
127d68db,2,1
18f7ab04,3,1
379d6be7,3,2
6b45908a,2,4
812686dc,2,1
81d9ebcc,2,1
90790c86,2,3
a474b80a,2,1
b0837042,2,1
bac0ba31,2,1
cd782d93,2,3
fd6b24a7,2,1
e2f47bbc,2,1
09397ce4,2,1
09ed7867,2,1
2b166ee8,3,1
5ef338aa,3,1
a17fdbc9,2,1
d71803d1,3,1
e2c08242,5,1
9f22fac6,2,1
1836df4c,2,1
42129cfc,2,1
4fe6624d,2,1
5c801493,2,1
8fa7f606,2,1
95c8caf6,2,3
a4569a0c,4,1
bb2e6143,2,1
bd4299f2,2,2
c711474f,2,1
dc4dbce3,2,1
ef41e27a,2,1
572fa035,2,1
a8a1d46b,2,4
95ae15b7,3,1
9682300b,3,1
d6999b2a,2,1
dcbacddb,3,1
f9d51e62,2,1
1d5d4ba3,2,1
1a0e6689,2,2
2c4dc7e0,2,1
54e279ad,2,2
10886dff,2,1
1d39b273,2,1
22eee203,2,7
26f551af,2,2
4e3ebb71,2,1
5289280d,2,1
7786f409,2,4
7f818412,2,1
81f227ae,2,1
83b94cf5,2,1
84adaca8,2,1
867c516f,2,3
9403ad7e,3,1
96695784,2,2
99427e79,2,1
a0294bdc,2,2
acc11a22,2,1
b3328325,2,1
cc755dd3,2,1
e2101128,2,11
f66e270f,2,1
c30897f6,2,1
f580feee,2,1
67c44596,2,1
2dc5162c,3,1
88baefe9,2,1
ab4c3674,2,1
1484314b,3,1
41458450,3,1
833a13f7,3,3
49af68c7,2,1
8626a223,2,1
a8da83bb,2,2
c17a9c0c,2,1
c679153e,4,1
dde05d2a,2,7
13515edf,2,1
1b3fc257,2,1
4af133f6,2,1
68c10889,2,1
a55d794e,2,1
bdb3b719,2,1
c0f4d203,2,12
d6d53d83,2,1
efbe08e1,2,1
35cadc39,2,1
676183d9,3,1
6b9d822e,2,1
786d61e8,2,1
956b0b1c,2,1
9b44a091,2,10
9cd9297e,2,1
c6af8663,3,2
d024838b,2,1
ca8c5c4d,2,1
6d5bbd05,4,1
c527b32b,4,1
1db6dc04,2,1
828a1e27,2,1
9912dec0,2,1
a1dffdb6,2,2
36957bc3,2,1
dda319f2,2,2
c0e054b2,2,1
d2144d13,2,4
d3909c3d,3,1
12f682ac,2,4
19320db5,2,1
38e2fcb5,2,1
4900b4d6,3,1
6a00997a,2,1
737dac77,2,1
88470549,2,1
8a39e8cb,3,1
8eeeabe8,2,2
94a88af7,2,1
ef3735f6,2,1
c5ae9916,2,1
64430a63,2,1
233686c6,10,1
1801db7a,3,1
703cc7a3,2,1
08f45e12,2,1
1658ed1b,2,1
1ee2d75a,2,1
2067525b,4,1
21aa16d4,2,1
26ed9fd2,3,1
36297840,4,1
395abd14,5,1
3ca9fab8,2,1
3cef58e0,2,1
3ec373eb,2,1
