64180901,1846996,deeplearning4j/deeplearning4j,1,1
64180907,1846996,deeplearning4j/deeplearning4j,1,1
64180993,1140,sferik/rails_admin,22,20
64181094,1846996,deeplearning4j/deeplearning4j,1,1
64181098,1846996,deeplearning4j/deeplearning4j,1,1
64183862,1846996,deeplearning4j/deeplearning4j,1,1
64184289,342991,stanfy/enroscar,2,2
64185422,4231,ruby/ruby,4,1
64201441,1154318,reactjs/react-rails,5,5
64201729,96198,pivotal/LicenseFinder,6,2
64202194,385879,nutzam/nutz,4,1
64203352,96198,pivotal/LicenseFinder,6,2
64203738,2964083,SpongePowered/Sponge,4,4
64205783,2302151,mrkamel/search_cop,60,12
64209862,385879,nutzam/nutz,4,4
64212732,10075,jruby/jruby,32,4
64213229,69867,apache/jackrabbit-oak,1,1
64218821,877336,puniverse/quasar,2,2
64220829,365717,geoserver/geoserver,3,1
64222236,269684,antirez/redis-doc,1,1
64230036,647106,opf/openproject,8,1
64231499,22313,troessner/reek/compare,8,8
64234452,234484,SonarSource/sonarqube,1,1
64235638,647106,opf/openproject,8,2
64237649,647106,opf/openproject,8,1
64240136,647106,opf/openproject,8,1
64241258,380402,structr/structr,3,1
64241524,234484,SonarSource/sonarqube,1,1
64248042,10075,jruby/jruby,32,3
64248375,647106,opf/openproject/compare,8,3
64248520,647106,opf/openproject,8,1
64249127,647106,opf/openproject,8,1
64250824,10075,jruby/jruby,32,15
64253470,10075,jruby/jruby,32,31
64257976,10075,jruby/jruby,32,31
64259255,234484,SonarSource/sonarqube,1,1
64261049,10075,jruby/jruby,32,31
64262331,365717,geoserver/geoserver,3,1
64264162,10075,jruby/jruby,32,31
64265309,69867,apache/jackrabbit-oak,1,1
64266338,10075,jruby/jruby,32,31
64269521,380402,structr/structr,3,1
64275663,10075,jruby/jruby,32,31
64275879,10075,jruby/jruby,32,31
64280619,529767,kostya/eye,4,2
64281015,2964083,SpongePowered/Sponge,4,4
64281473,2964083,SpongePowered/Sponge,4,4
64282580,825843,facebook/buck,1,1
64284321,529767,kostya/eye,4,3
64286046,877336,puniverse/quasar,2,1
64286506,235795,owncloud/android,1,1
64286512,235795,owncloud/android,1,1
64288910,235795,owncloud/android,1,1
64288917,235795,owncloud/android,1,1
64289326,10075,jruby/jruby,32,31
64289708,342991,stanfy/enroscar,2,2
64290373,342991,stanfy/enroscar,2,2
64290444,342991,stanfy/enroscar,2,2
64294152,1835513,javaslang/javaslang,1,1
64294467,69867,apache/jackrabbit-oak,1,1
64295878,1846996,deeplearning4j/deeplearning4j,1,1
64295884,1846996,deeplearning4j/deeplearning4j,1,1
64296389,2815235,tomp2p/TomP2P,1,1
64296596,2815235,tomp2p/TomP2P,1,1
